"Gene.symbol","logFC","adj.P.Val"
"GBP1",1.08789376268659,1.31367274816693e-07
"EPSTI1",1.53205030275759,1.22640045116714e-06
"MMP28",-1.28001685773689,4.3446647227154e-06
"CXCL10",1.5398471251224,7.21264883244335e-06
"IFI44",1.72895325434638,7.21264883244335e-06
"DDX60",1.12140076820756,8.22673552295006e-06
"RBPMS2",-1.08431697755004,8.56102341707729e-06
"LRRC26",-1.23459399820505,1.1126570251228e-05
"TTC21A",1.04326543096644,1.40789070391025e-05
"RSAD2",2.18112882018264,1.42434808406865e-05
"XAF1",1.20506475309177,1.42434808406865e-05
"IFI44L",2.17553959730319,1.75240353531681e-05
"LY6E",1.47224461986561,1.75240353531681e-05
"LAMP3",1.70304363647286,2.3567099585194e-05
"ATF3",1.2101165084728,2.42123068989565e-05
"IFIT3",1.28318089410419,2.42123068989565e-05
"SERPING1",1.47155683690126,2.63359134758694e-05
"CD248",-1.46278276866647,2.9406715704433e-05
"ISG15",1.58698045127347,3.65503119662212e-05
"BATF2",1.33678570636844,3.65503119662212e-05
"IFITM3",1.19062983379722,3.88652731577824e-05
"SPATS2L",1.49260042924833,4.67142201263779e-05
"IFI27",2.98433317944677,5.53567718981039e-05
"IFIT1",1.47827084206672,0.000166701844337072
"GBP6",1.23368337927338,0.00018366391536699
"CMPK2",1.93854032962599,0.000196942336002296
"ZCCHC2",1.18416195322424,0.000205207108874034
"OASL",1.12204048773533,0.000205207108874034
"OTOF",2.71667380087443,0.000205501111878847
"PDGFRB",1.04524748754227,0.000234941945296338
"CCL8",1.10650913485798,0.000285003405056234
"ANKRD22",1.05377936782651,0.000309151506348757
"MX1",1.11243185560279,0.000322320695547827
"HES4",1.22855483752191,0.000328219471763958
"FEZ1",-1.14589732113645,0.000405928846608401
"ETV7",1.07993267930004,0.000504830310583688
"OAS2",1.09039891172657,0.00050627566594322
"IFI6",1.15381349968781,0.00083464905899411
"OAS1",1.14971837432858,0.000979586657777388
"CCL2",1.21060585073198,0.00118311822508703
"USP18",1.05304329054334,0.00123393906078954
"SIGLEC1",1.11525307992597,0.00136004013618127
"LRRN3",-1.25050742174462,0.00151092325652495
"HLA-DRB6",1.13697508523527,0.0127923427773331
